Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Pernoctaciones;Total;2017M04;1.093.410
Total Nacional;;Pernoctaciones;Total;2017M03;516.944
Total Nacional;;Pernoctaciones;Total;2017M02;419.697
Total Nacional;;Pernoctaciones;Total;2017M01;324.067
Total Nacional;;Pernoctaciones;Residentes en España;2024M10;623.301
Total Nacional;;Pernoctaciones;Residentes en España;2024M09;754.764
Total Nacional;;Pernoctaciones;Residentes en España;2024M08;1.751.586
Total Nacional;;Pernoctaciones;Residentes en España;2024M07;1.133.426
Total Nacional;;Pernoctaciones;Residentes en España;2024M06;705.421
Total Nacional;;Pernoctaciones;Residentes en España;2024M05;613.568
Total Nacional;;Pernoctaciones;Residentes en España;2024M04;503.560
Total Nacional;;Pernoctaciones;Residentes en España;2024M03;727.352
Total Nacional;;Pernoctaciones;Residentes en España;2024M02;373.429
Total Nacional;;Pernoctaciones;Residentes en España;2024M01;287.474
Total Nacional;;Pernoctaciones;Residentes en España;2023M12;824.214
Total Nacional;;Pernoctaciones;Residentes en España;2023M11;482.142
Total Nacional;;Pernoctaciones;Residentes en España;2023M10;678.116
Total Nacional;;Pernoctaciones;Residentes en España;2023M09;789.567
Total Nacional;;Pernoctaciones;Residentes en España;2023M08;1.817.057
Total Nacional;;Pernoctaciones;Residentes en España;2023M07;1.203.718
Total Nacional;;Pernoctaciones;Residentes en España;2023M06;694.106
Total Nacional;;Pernoctaciones;Residentes en España;2023M05;536.404
Total Nacional;;Pernoctaciones;Residentes en España;2023M04;880.534
Total Nacional;;Pernoctaciones;Residentes en España;2023M03;463.786
Total Nacional;;Pernoctaciones;Residentes en España;2023M02;392.946
Total Nacional;;Pernoctaciones;Residentes en España;2023M01;318.018
Total Nacional;;Pernoctaciones;Residentes en España;2022M12;708.166
Total Nacional;;Pernoctaciones;Residentes en España;2022M11;463.320
Total Nacional;;Pernoctaciones;Residentes en España;2022M10;691.727
Total Nacional;;Pernoctaciones;Residentes en España;2022M09;756.911
Total Nacional;;Pernoctaciones;Residentes en España;2022M08;1.891.900
Total Nacional;;Pernoctaciones;Residentes en España;2022M07;1.315.048
Total Nacional;;Pernoctaciones;Residentes en España;2022M06;705.069
Total Nacional;;Pernoctaciones;Residentes en España;2022M05;562.395
Total Nacional;;Pernoctaciones;Residentes en España;2022M04;844.997
Total Nacional;;Pernoctaciones;Residentes en España;2022M03;401.818
Total Nacional;;Pernoctaciones;Residentes en España;2022M02;401.448
Total Nacional;;Pernoctaciones;Residentes en España;2022M01;293.461
Total Nacional;;Pernoctaciones;Residentes en España;2021M12;681.559
Total Nacional;;Pernoctaciones;Residentes en España;2021M11;464.356
Total Nacional;;Pernoctaciones;Residentes en España;2021M10;851.907
Total Nacional;;Pernoctaciones;Residentes en España;2021M09;820.659
Total Nacional;;Pernoctaciones;Residentes en España;2021M08;2.082.378
Total Nacional;;Pernoctaciones;Residentes en España;2021M07;1.398.478
Total Nacional;;Pernoctaciones;Residentes en España;2021M06;639.844
Total Nacional;;Pernoctaciones;Residentes en España;2021M05;353.683
Total Nacional;;Pernoctaciones;Residentes en España;2021M04;283.682
Total Nacional;;Pernoctaciones;Residentes en España;2021M03;219.642
Total Nacional;;Pernoctaciones;Residentes en España;2021M02;91.154
Total Nacional;;Pernoctaciones;Residentes en España;2021M01;92.474
Total Nacional;;Pernoctaciones;Residentes en España;2020M12;203.466
Total Nacional;;Pernoctaciones;Residentes en España;2020M11;.
Total Nacional;;Pernoctaciones;Residentes en España;2020M10;359.394
Total Nacional;;Pernoctaciones;Residentes en España;2020M09;619.362
Total Nacional;;Pernoctaciones;Residentes en España;2020M08;1.931.050
Total Nacional;;Pernoctaciones;Residentes en España;2020M07;1.290.945
Total Nacional;;Pernoctaciones;Residentes en España;2020M06;268.569
Total Nacional;;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;;Pernoctaciones;Residentes en España;2020M04;.
Total Nacional;;Pernoctaciones;Residentes en España;2020M03;101.420
Total Nacional;;Pernoctaciones;Residentes en España;2020M02;391.086
