Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M09;24.195
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M08;63.454
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M07;45.345
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M06;12.411
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M04;.
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M03;5.018
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M02;17.182
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2020M01;16.460
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M12;35.280
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M11;26.278
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M10;27.429
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M09;20.922
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M08;68.830
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M07;60.460
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M06;38.793
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M05;27.444
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M04;42.424
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M03;20.888
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M02;13.794
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2019M01;12.424
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M12;39.969
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M11;22.078
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M10;26.061
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M09;21.018
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M08;70.349
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M07;52.948
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M06;37.572
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M05;29.166
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M04;36.519
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M03;33.104
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M02;13.078
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2018M01;12.102
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M12;40.759
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M11;15.215
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M10;22.847
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M09;20.816
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M08;66.788
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M07;49.954
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M06;33.679
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M05;27.519
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M04;47.367
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M03;17.794
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M02;14.915
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en España;2017M01;13.714
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M10;8.916
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M09;7.219
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M08;18.466
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M07;11.928
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M06;5.148
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M05;6.718
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M04;5.746
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M03;3.935
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M02;3.092
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2024M01;2.346
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M12;2.108
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M11;3.522
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M10;5.705
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M09;5.584
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M08;13.479
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M07;8.134
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M06;5.193
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M05;5.268
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M04;4.930
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M03;6.531
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M02;2.659
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2023M01;3.010
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M12;3.338
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M11;4.170
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M10;4.442
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M09;4.902
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M08;12.432
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M07;11.594
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M06;4.912
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M05;4.027
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M04;4.495
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M03;3.865
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M02;3.731
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2022M01;3.348
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M12;1.502
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M11;2.565
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M10;3.259
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M09;4.350
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M08;6.978
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M07;4.308
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M06;1.075
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M05;1.249
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M04;509
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M03;300
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M02;173
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2021M01;67
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M12;934
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M11;.
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M10;1.220
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M09;1.878
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M08;4.477
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M07;3.081
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M06;806
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M04;.
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M03;1.907
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M02;5.082
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2020M01;3.198
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M12;3.029
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M11;4.387
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M10;5.451
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M09;5.637
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M08;12.226
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M07;10.766
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M06;5.536
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M05;7.405
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M04;6.240
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M03;4.104
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M02;2.853
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2019M01;3.084
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M12;3.134
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M11;3.339
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M10;4.862
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M09;7.429
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M08;11.190
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M07;12.250
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M06;6.095
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M05;5.674
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M04;5.392
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M03;7.031
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M02;4.460
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2018M01;4.060
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M12;4.475
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M11;5.525
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M10;8.460
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M09;7.750
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M08;14.903
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M07;12.465
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M06;4.687
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M05;4.824
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M04;6.053
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M03;4.809
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M02;2.414
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Residentes en el Extranjero;2017M01;2.545
Total Nacional;11 Extremadura;Viajero;Total;2024M10;19.918
Total Nacional;11 Extremadura;Viajero;Total;2024M09;22.156
Total Nacional;11 Extremadura;Viajero;Total;2024M08;36.056
Total Nacional;11 Extremadura;Viajero;Total;2024M07;27.304
Total Nacional;11 Extremadura;Viajero;Total;2024M06;19.199
Total Nacional;11 Extremadura;Viajero;Total;2024M05;22.588
Total Nacional;11 Extremadura;Viajero;Total;2024M04;21.243
Total Nacional;11 Extremadura;Viajero;Total;2024M03;22.809
Total Nacional;11 Extremadura;Viajero;Total;2024M02;11.796
Total Nacional;11 Extremadura;Viajero;Total;2024M01;8.867
Total Nacional;11 Extremadura;Viajero;Total;2023M12;17.618
Total Nacional;11 Extremadura;Viajero;Total;2023M11;15.767
Total Nacional;11 Extremadura;Viajero;Total;2023M10;18.002
Total Nacional;11 Extremadura;Viajero;Total;2023M09;18.754
Total Nacional;11 Extremadura;Viajero;Total;2023M08;31.336
Total Nacional;11 Extremadura;Viajero;Total;2023M07;23.736
Total Nacional;11 Extremadura;Viajero;Total;2023M06;17.287
Total Nacional;11 Extremadura;Viajero;Total;2023M05;17.568
Total Nacional;11 Extremadura;Viajero;Total;2023M04;29.032
Total Nacional;11 Extremadura;Viajero;Total;2023M03;18.209
Total Nacional;11 Extremadura;Viajero;Total;2023M02;12.835
Total Nacional;11 Extremadura;Viajero;Total;2023M01;8.289
Total Nacional;11 Extremadura;Viajero;Total;2022M12;15.385
Total Nacional;11 Extremadura;Viajero;Total;2022M11;14.579
Total Nacional;11 Extremadura;Viajero;Total;2022M10;20.854
Total Nacional;11 Extremadura;Viajero;Total;2022M09;20.550
Total Nacional;11 Extremadura;Viajero;Total;2022M08;32.027
Total Nacional;11 Extremadura;Viajero;Total;2022M07;27.635
Total Nacional;11 Extremadura;Viajero;Total;2022M06;20.530
Total Nacional;11 Extremadura;Viajero;Total;2022M05;20.779
Total Nacional;11 Extremadura;Viajero;Total;2022M04;27.728
Total Nacional;11 Extremadura;Viajero;Total;2022M03;15.801
Total Nacional;11 Extremadura;Viajero;Total;2022M02;13.369
Total Nacional;11 Extremadura;Viajero;Total;2022M01;8.089
Total Nacional;11 Extremadura;Viajero;Total;2021M12;15.778
Total Nacional;11 Extremadura;Viajero;Total;2021M11;15.404
Total Nacional;11 Extremadura;Viajero;Total;2021M10;22.254
Total Nacional;11 Extremadura;Viajero;Total;2021M09;19.552
Total Nacional;11 Extremadura;Viajero;Total;2021M08;32.522
Total Nacional;11 Extremadura;Viajero;Total;2021M07;25.372
Total Nacional;11 Extremadura;Viajero;Total;2021M06;15.913
Total Nacional;11 Extremadura;Viajero;Total;2021M05;11.799
Total Nacional;11 Extremadura;Viajero;Total;2021M04;7.760
Total Nacional;11 Extremadura;Viajero;Total;2021M03;10.920
Total Nacional;11 Extremadura;Viajero;Total;2021M02;3.253
Total Nacional;11 Extremadura;Viajero;Total;2021M01;1.750
Total Nacional;11 Extremadura;Viajero;Total;2020M12;5.724
Total Nacional;11 Extremadura;Viajero;Total;2020M11;4.123
Total Nacional;11 Extremadura;Viajero;Total;2020M10;8.083
Total Nacional;11 Extremadura;Viajero;Total;2020M09;12.207
Total Nacional;11 Extremadura;Viajero;Total;2020M08;26.725
Total Nacional;11 Extremadura;Viajero;Total;2020M07;21.520
Total Nacional;11 Extremadura;Viajero;Total;2020M06;4.278
Total Nacional;11 Extremadura;Viajero;Total;2020M05;359
Total Nacional;11 Extremadura;Viajero;Total;2020M04;.
Total Nacional;11 Extremadura;Viajero;Total;2020M03;3.625
Total Nacional;11 Extremadura;Viajero;Total;2020M02;15.274
Total Nacional;11 Extremadura;Viajero;Total;2020M01;8.146
Total Nacional;11 Extremadura;Viajero;Total;2019M12;17.279
Total Nacional;11 Extremadura;Viajero;Total;2019M11;15.292
Total Nacional;11 Extremadura;Viajero;Total;2019M10;17.488
Total Nacional;11 Extremadura;Viajero;Total;2019M09;19.673
Total Nacional;11 Extremadura;Viajero;Total;2019M08;33.184
Total Nacional;11 Extremadura;Viajero;Total;2019M07;25.261
Total Nacional;11 Extremadura;Viajero;Total;2019M06;19.070
Total Nacional;11 Extremadura;Viajero;Total;2019M05;18.136
Total Nacional;11 Extremadura;Viajero;Total;2019M04;21.966
Total Nacional;11 Extremadura;Viajero;Total;2019M03;21.189
Total Nacional;11 Extremadura;Viajero;Total;2019M02;11.197
Total Nacional;11 Extremadura;Viajero;Total;2019M01;6.987
Total Nacional;11 Extremadura;Viajero;Total;2018M12;16.243
Total Nacional;11 Extremadura;Viajero;Total;2018M11;15.772
Total Nacional;11 Extremadura;Viajero;Total;2018M10;17.082
Total Nacional;11 Extremadura;Viajero;Total;2018M09;17.963
Total Nacional;11 Extremadura;Viajero;Total;2018M08;30.979
Total Nacional;11 Extremadura;Viajero;Total;2018M07;21.098
Total Nacional;11 Extremadura;Viajero;Total;2018M06;16.479
Total Nacional;11 Extremadura;Viajero;Total;2018M05;16.065
Total Nacional;11 Extremadura;Viajero;Total;2018M04;22.207
Total Nacional;11 Extremadura;Viajero;Total;2018M03;17.664
Total Nacional;11 Extremadura;Viajero;Total;2018M02;11.321
Total Nacional;11 Extremadura;Viajero;Total;2018M01;6.371
Total Nacional;11 Extremadura;Viajero;Total;2017M12;15.755
Total Nacional;11 Extremadura;Viajero;Total;2017M11;11.488
Total Nacional;11 Extremadura;Viajero;Total;2017M10;14.447
Total Nacional;11 Extremadura;Viajero;Total;2017M09;16.783
Total Nacional;11 Extremadura;Viajero;Total;2017M08;26.876
Total Nacional;11 Extremadura;Viajero;Total;2017M07;22.609
Total Nacional;11 Extremadura;Viajero;Total;2017M06;13.848
Total Nacional;11 Extremadura;Viajero;Total;2017M05;13.805
Total Nacional;11 Extremadura;Viajero;Total;2017M04;25.526
Total Nacional;11 Extremadura;Viajero;Total;2017M03;15.893
Total Nacional;11 Extremadura;Viajero;Total;2017M02;10.629
Total Nacional;11 Extremadura;Viajero;Total;2017M01;8.252
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M10;16.720
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M09;18.821
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M08;31.086
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M07;22.282
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M06;16.548
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M05;18.425
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M04;16.513
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M03;19.271
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M02;10.042
Total Nacional;11 Extremadura;Viajero;Residentes en España;2024M01;8.124
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M12;15.779
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M11;13.941
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M10;15.547
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M09;15.947
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M08;28.148
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M07;21.177
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M06;15.348
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M05;14.354
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M04;24.499
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M03;16.151
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M02;11.668
Total Nacional;11 Extremadura;Viajero;Residentes en España;2023M01;7.666
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M12;14.646
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M11;13.397
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M10;18.592
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M09;18.210
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M08;29.049
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M07;25.282
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M06;18.324
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M05;17.463
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M04;25.038
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M03;14.538
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M02;12.794
Total Nacional;11 Extremadura;Viajero;Residentes en España;2022M01;7.547
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M12;14.623
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M11;14.210
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M10;19.773
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M09;17.059
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M08;29.786
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M07;22.242
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M06;14.257
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M05;10.770
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M04;7.187
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M03;10.081
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M02;3.223
Total Nacional;11 Extremadura;Viajero;Residentes en España;2021M01;1.711
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M12;5.586
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M11;.
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M10;7.527
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M09;11.425
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M08;24.110
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M07;19.399
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M06;4.074
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M05;.
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M04;.
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M03;3.113
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M02;13.205
Total Nacional;11 Extremadura;Viajero;Residentes en España;2020M01;7.382
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M12;15.784
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M11;13.747
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M10;15.481
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M09;17.891
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M08;30.341
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M07;23.304
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M06;17.281
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M05;15.683
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M04;19.853
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M03;18.766
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M02;10.362
Total Nacional;11 Extremadura;Viajero;Residentes en España;2019M01;6.294
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M12;15.154
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M11;14.683
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M10;15.327
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M09;16.264
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M08;28.475
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M07;18.914
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M06;14.969
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M05;13.934
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M04;19.769
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M03;16.370
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M02;10.505
Total Nacional;11 Extremadura;Viajero;Residentes en España;2018M01;5.862
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M12;15.114
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M11;11.021
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M10;13.554
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M09;15.671
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M08;24.941
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M07;19.877
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M06;12.632
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M05;12.274
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M04;22.493
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M03;15.148
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M02;9.880
Total Nacional;11 Extremadura;Viajero;Residentes en España;2017M01;7.789
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M10;3.198
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M09;3.334
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M08;4.970
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M07;5.022
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M06;2.651
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M05;4.164
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M04;4.730
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M03;3.538
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M02;1.755
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2024M01;742
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M12;1.839
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M11;1.826
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M10;2.455
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M09;2.808
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M08;3.188
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M07;2.559
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M06;1.939
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M05;3.214
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M04;4.533
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M03;2.058
Total Nacional;11 Extremadura;Viajero;Residentes en el Extranjero;2023M02;1.167
